id,user,date,timestamp,commentText,likes,hasReplies,numberOfReplies,replies.id,replies.user,replies.date,replies.timestamp,replies.commentText,replies.likes
UgzoOgNSFfU2e8vDWTF4AaABAg,Najwa Shihab,1 month ago,1557716725693,"Terima kasih sudah menonton episode Mata Najwa - Laga Usai Pilpres, cek episode lengkapnya di https://www.narasi.tv atau klik disini http://bit.ly/2GRG7qj",1270,true,120,,,,,,
,,,,,,,,UgzoOgNSFfU2e8vDWTF4AaABAg.8uQPjcts_Ep8uQQ11-Ksnn,Lintang Sinawan,1 month ago,1557716726105,Mba najwa bingung gak sih sama tingkah laku pak prabowo dan timnya,17
,,,,,,,,UgzoOgNSFfU2e8vDWTF4AaABAg.8uQPjcts_Ep8uQQ_n3RKsA,achmad yusuf,1 month ago,1557716726106,Mbak nana pa kabar?,5
,,,,,,,,UgzoOgNSFfU2e8vDWTF4AaABAg.8uQPjcts_Ep8uQRF_Jl-76,heri setiawan,1 month ago,1557716726107,"Terimakasih mba Nana,, sajian debat politik yg menarik dan membuat sy tertarik.. dan bisa pilah pilih yg baik dan di kedepankan",1
,,,,,,,,UgzoOgNSFfU2e8vDWTF4AaABAg.8uQPjcts_Ep8uQRh4yLMNZ,Ama Kusuma,1 month ago,1557716726109,"Sama2 mb nana,, duuh makin cantik ajaa,, salfok sama bajunya mb nana,, rancangan siapa ya,,?hehe,, ampe kurang denger pak wowo lagi pantun,,, mending liatin penampilan mb nana aja😂😂",5
,,,,,,,,UgzoOgNSFfU2e8vDWTF4AaABAg.8uQPjcts_Ep8uQS4VrIc6J,Alldiansyah Putra,1 month ago,1557716726110,"I love you mbak nana, chanel nya bagus banget..
The best deh..",4
,,,,,,,,UgzoOgNSFfU2e8vDWTF4AaABAg.8uQPjcts_Ep8uQS6j955-v,Ossama Oessy,1 month ago,1557716726111,trmksh...mba nana sehat terus ya...semoga mata nazwa sukses jgn br henti karna acara ini yg selalu d tunggu kluarga saya kalo ada acara ini kaya mu nonton bola kdng sorak kdng ketawa..,0
,,,,,,,,UgzoOgNSFfU2e8vDWTF4AaABAg.8uQPjcts_Ep8uQSSLdOAI9,Fox,1 month ago,1557716726113,@Lintang Sinawan tontonan yg sangat menarik hehe,0
,,,,,,,,UgzoOgNSFfU2e8vDWTF4AaABAg.8uQPjcts_Ep8uQTgljyr2C,Andi Kusuma,1 month ago,1557716726114,"Najwa Shihab saya orang bengkulu mbak nana..jujur saya buta akan politik.
Saya selalu senang nonton kalo bang adian sama mas arif debat..
Menurut saya 2 orang ne yg mendidik politik di negeri ini.
Mereka debat ada humoris ada serius.

Kalo boleh mbak nana tolong sampaikan dong sama 2 orang itu.
Minta akun sosmednya atau no WA nya mbak nana.. makasih",3
,,,,,,,,UgzoOgNSFfU2e8vDWTF4AaABAg.8uQPjcts_Ep8uQUgCOv9bW,kartiko buono,1 month ago,1557716726116,"Mbak najwa... ingatin tu orang .. orang yang bilang dirinya di curangin, biasanya orang yg biasa curang, makanya dia takut kalau di curangin... hehehehehh",4
,,,,,,,,UgzoOgNSFfU2e8vDWTF4AaABAg.8uQPjcts_Ep8uQVjx76Bda,satria bontot,1 month ago,1557716726117,"Tolong mak najwa, puyono gk usah di undang ke tv lagi, karena ap,,,,, omongannya kok Mkin lama makin ngawor,,,,,,,puyono niatnya cmn ingin mengadu domba masyarakat,,,,,",6
