id,user,date,timestamp,commentText,likes,hasReplies,numberOfReplies,replies.id,replies.user,replies.date,replies.timestamp,replies.commentText,replies.likes
UgyAvP8T3YnPRlXsfZd4AaABAg,Najwa Shihab,1 month ago,1557714685314,"Terima kasih sudah menonton episode Mata Najwa - Laga Usai Pilpres, cek episode lengkapnya di https://www.narasi.tv atau klik disini http://bit.ly/2GRG7qj",2080,true,134,,,,,,
,,,,,,,,UgyAvP8T3YnPRlXsfZd4AaABAg.8uQPp2LWkBV8uQQ5XO0ndp,Nur Yanti,1 month ago,1557714685706,Sama sama mbak,1
,,,,,,,,UgyAvP8T3YnPRlXsfZd4AaABAg.8uQPp2LWkBV8uQQJrw2yhA,Ainun Yaumilachir,1 month ago,1557714685708,Siap kakakku,3
,,,,,,,,UgyAvP8T3YnPRlXsfZd4AaABAg.8uQPp2LWkBV8uQQ_XePxkj,isty cikiciki,1 month ago,1557714685709,❤,0
,,,,,,,,UgyAvP8T3YnPRlXsfZd4AaABAg.8uQPp2LWkBV8uQQeJwAG67,Dede Febriansyah,1 month ago,1557714685712,Mahfud md dong kk najwa,3
,,,,,,,,UgyAvP8T3YnPRlXsfZd4AaABAg.8uQPp2LWkBV8uQQtu_xvVG,Mulis Sipit,1 month ago,1557714685714,Undang Mahfud MD vs Amin Rais dong Mba.Idola...,5
,,,,,,,,UgyAvP8T3YnPRlXsfZd4AaABAg.8uQPp2LWkBV8uQQudfxa6t,santoso wibowo,1 month ago,1557714685716,Terus maju mata Najwa,0
,,,,,,,,UgyAvP8T3YnPRlXsfZd4AaABAg.8uQPp2LWkBV8uQR6zp-7VP,Dimas Aryabima,1 month ago,1557714685717,Salam dari prabumulih mbak najwa....,1
,,,,,,,,UgyAvP8T3YnPRlXsfZd4AaABAg.8uQPp2LWkBV8uQRCLkcZko,Merah Marunnay,1 month ago,1557714685720,"soal #baliho, yang bahagia itu yah #profokatornya 😄😄😄 sukses membodoh2kan org... ntar klo yg dilantik bukan pak Bowo sukses mempermalukan 😂😂😂",3
,,,,,,,,UgyAvP8T3YnPRlXsfZd4AaABAg.8uQPp2LWkBV8uQROI16VY9,Wahyu Landax,1 month ago,1557714685721,"Iya mbak makasih,,,,",0
,,,,,,,,UgyAvP8T3YnPRlXsfZd4AaABAg.8uQPp2LWkBV8uQRuGokVxg,Mother Hiro,1 month ago,1557714686385,Kenaap saya jadi gak suka,0
,,,,,,,,UgyAvP8T3YnPRlXsfZd4AaABAg.8uQPp2LWkBV8uQRwflz_T1,halim Offical,1 month ago,1557714686387,Semoga aman damai negeriku,0
,,,,,,,,UgyAvP8T3YnPRlXsfZd4AaABAg.8uQPp2LWkBV8uQS77bYhRR,Hendrik Tena,1 month ago,1557714686389,kren mbak Najwa shihab,0
,,,,,,,,UgyAvP8T3YnPRlXsfZd4AaABAg.8uQPp2LWkBV8uQSFSzcg7p,Hendrik Tena,1 month ago,1557714686390,saya dari NTT SELALU MENGIKUTI DEBAT2 PANAS DI MATA Najwa,0
