id,user,date,timestamp,commentText,likes,hasReplies,numberOfReplies,replies.id,replies.user,replies.date,replies.timestamp,replies.commentText,replies.likes
UgymZY8vfD_LiTC_--94AaABAg,Najwa Shihab,1 month ago,1557717204964,"Terima kasih sudah menonton episode Mata Najwa - Laga Usai Pilpres, cek episode lengkapnya di https://www.narasi.tv atau klik disini http://bit.ly/2GRG7qj",878,true,108,,,,,,
,,,,,,,,UgymZY8vfD_LiTC_--94AaABAg.8uQPaZO3j0d8uQQMq1L3uk,auk ah gelap,1 month ago,1557717205392,sama-sama kak,2
,,,,,,,,UgymZY8vfD_LiTC_--94AaABAg.8uQPaZO3j0d8uQQcJ-MuCx,JOKO MBUDEG,1 month ago,1557717205394,Mbak. 😅😅 aq ijek sabtai debat ew adian karo arif. Nk iki hade. Koyo bocah tk engkel engkelan perkoro permen,1
,,,,,,,,UgymZY8vfD_LiTC_--94AaABAg.8uQPaZO3j0d8uQRqgghxct,Nnanimanis Nnanimanis,1 month ago,1557717205395,Semagat mba nana,0
,,,,,,,,UgymZY8vfD_LiTC_--94AaABAg.8uQPaZO3j0d8uQSvnUfbYc,SETIA BAND,1 month ago,1557717205397,iyahh mbak cantik😍😍,0
,,,,,,,,UgymZY8vfD_LiTC_--94AaABAg.8uQPaZO3j0d8uQT6_T0bmO,Fredy Ndaumanu,1 month ago,1557717205398,Setiap pertanyaan sis Najwa kritis & menjebak 😃💚👌,1
,,,,,,,,UgymZY8vfD_LiTC_--94AaABAg.8uQPaZO3j0d8uQUEiDrVaQ,Lia Tema,1 month ago,1557717205399,"🇮🇩🇮🇩🇮🇩 PITA BHINEKA TUNGGAL IKA akan tetap berkibar BAGI GARUDA KU, PANCASILA ADALAH ideologi ku. Jika engkau ingin ideologi lain, pindahlah kau ke negara lain. INDONESIA ADALAH PANCASILA. Siang dan malam kami berdoa, Indonesia jangan pecah, Indonesia tetap damai dan bersatu dalam sayap GARUDA PANCASILA. INDONESIA NEGARA MAJU. PANCASILA SUDAH FINAL BAGI INDONESIA.  SALAM CINTA SESAUDARA SEIBU PERTIWI 🇲🇨🙏🇮🇩",3
,,,,,,,,UgymZY8vfD_LiTC_--94AaABAg.8uQPaZO3j0d8uQV1bj09mp,Denny Denny channel,1 month ago,1557717205401,saya jijik sama kubu kampreett kalah masih ngotot,2
,,,,,,,,UgymZY8vfD_LiTC_--94AaABAg.8uQPaZO3j0d8uQW768hGek,Bandun Supriyoto,1 month ago,1557717205402,Omongan egy mbulet..kayak kentutnya,4
,,,,,,,,UgymZY8vfD_LiTC_--94AaABAg.8uQPaZO3j0d8uQZEcNMft3,Masahiru Kouta,1 month ago,1557717205403,"aku senang lihat acara mbak nNajwa, sangat mendidik, tapi belakangan ini content nya mirip2 semua, isinya retorika, klaim kemenangan masing2 kubu sendiri.
boleh nga saya ajuin usulan?
Mbak Najwa kan terkenal sering menyudutkan pihak manapun, asal mereka ada bau busuk langsung di tembak sama Mbak Najwa, boleh dong sekali2 suruh masing2 kubu bawa bukti, bukti cara itung cepat, dan suru mereka bersumpah di atas apapun itu yg mereka percayai bahwa mereka tidak berbuat curang.",2
