id,user,date,timestamp,commentText,likes,hasReplies,numberOfReplies,replies.id,replies.user,replies.date,replies.timestamp,replies.commentText,replies.likes
UgxWyuzG0wBGL7bufbd4AaABAg,Najwa Shihab,1 month ago,1557717609776,"Terima kasih sudah menonton episode Mata Najwa - Laga Usai Pilpres, cek episode lengkapnya di https://www.narasi.tv atau klik disini http://bit.ly/2GRG7qj",1048,true,110,,,,,,
,,,,,,,,UgxWyuzG0wBGL7bufbd4AaABAg.8uQPUrAHbjK8uQQGY8p8Dn,Sutan Jorghi,1 month ago,1557717610266,"Sama"" mbak nana😁",1
,,,,,,,,UgxWyuzG0wBGL7bufbd4AaABAg.8uQPUrAHbjK8uQR7yn7-97,adipati ndelik ing alang alang,1 month ago,1557717610268,https://youtu.be/qeD7cjHJxzw,0
,,,,,,,,UgxWyuzG0wBGL7bufbd4AaABAg.8uQPUrAHbjK8uQRCig0rnm,adipati ndelik ing alang alang,1 month ago,1557717610270,ini gmn mb nana,0
,,,,,,,,UgxWyuzG0wBGL7bufbd4AaABAg.8uQPUrAHbjK8uQRemLP4BX,JOKO MBUDEG,1 month ago,1557717610271,Makan mbak makan😂,0
,,,,,,,,UgxWyuzG0wBGL7bufbd4AaABAg.8uQPUrAHbjK8uQRjbK2FzC,de,1 month ago,1557717610273,sama2 mbak... lanjut ungkap fakta2 kebenaran yang di sembunyikan mbak...,1
,,,,,,,,UgxWyuzG0wBGL7bufbd4AaABAg.8uQPUrAHbjK8uQSUtnkREU,adipati ndelik ing alang alang,1 month ago,1557717610275,hay hihi,0
,,,,,,,,UgxWyuzG0wBGL7bufbd4AaABAg.8uQPUrAHbjK8uQS_dDk60g,Bunda Farid's crafts,1 month ago,1557717610277,"Aduh mbak nana pinter deh  😂😂😂
Siapa yang suka melakukan itu mas arif '😂😂
Pertanyaan yang bikin saya ngakak hhh",1
,,,,,,,,UgxWyuzG0wBGL7bufbd4AaABAg.8uQPUrAHbjK8uQTEPjrjrP,anak rantau82,1 month ago,1557717610278,Itu bukan ijtimak ulama melainkan. melainkan ijtimak para ulamak yg takut dan tidak percaya  akan kekalahan kubu 02..,5
,,,,,,,,UgxWyuzG0wBGL7bufbd4AaABAg.8uQPUrAHbjK8uQW5Luz0rw,Yuliana Ida,1 month ago,1557717610280,"Tadi itjmak ulama ap badan kemenangan kok ad nyanyinya,👏👏👏👏,la memang mrk bkn ulama kok",3
,,,,,,,,UgxWyuzG0wBGL7bufbd4AaABAg.8uQPUrAHbjK8uQWlMRS7n8,anak rantau82,1 month ago,1557717611037,Saran saaya sebagai ulama itu meredakan disaat rakyat mau pun pejabat siapa pun itu megayomi dan menyejuk kan keadaan yang panas. Itu baru ulama... Kalau yg panas di bikin tambah panas itu bukan ulama melaikan penyangak,8
,,,,,,,,UgxWyuzG0wBGL7bufbd4AaABAg.8uQPUrAHbjK8uQ_RuUTTFs,Aceh Acehijoku,1 month ago,1557717611039,Nana anjeng,1
,,,,,,,,UgxWyuzG0wBGL7bufbd4AaABAg.8uQPUrAHbjK8uQ_muIdJt0,ask me,1 month ago,1557717611040,@Aceh Acehijoku mencerminkan junjungan lo sikap lo itu,5
,,,,,,,,UgxWyuzG0wBGL7bufbd4AaABAg.8uQPUrAHbjK8uQcFuRMfHl,Lia Tema,1 month ago,1557717611041,menteri  SUSI AKAN DI GANTI FADLI ZON ATAU FAHRI HAMZAH. COBA LIHAT DI SKEMA MENTRI PAK PRABOWO. 🙏🏼🇲🇨🙏🏼,1
,,,,,,,,UgxWyuzG0wBGL7bufbd4AaABAg.8uQPUrAHbjK8uQcv_xXNpg,Adi Loka,1 month ago,1557717611043,Sama sama mbak nana,1
,,,,,,,,UgxWyuzG0wBGL7bufbd4AaABAg.8uQPUrAHbjK8uQfXqbaXkY,Rimi David,1 month ago,1557717611044,Acara yg tidak netral dan sepihak... Tak pantas kau jd presenter.,1
,,,,,,,,UgxWyuzG0wBGL7bufbd4AaABAg.8uQPUrAHbjK8uQgIuUHuqB,PUTRA DEWATA,1 month ago,1557717611045,Mbk nana cantik,1
,,,,,,,,UgxWyuzG0wBGL7bufbd4AaABAg.8uQPUrAHbjK8uQgzn4n7Xu,Azka Ibawa,1 month ago,1557717611047,"Mbak najwa, tolong jangan lagi undang2 orang2 seperti mereka, debat dengan emosi dan nggak masuk akal.. tolong undang saja aktivis2 muda, atau timses2 yang muda yang lebih masuk akal.. terimakasih :')",2
,,,,,,,,UgxWyuzG0wBGL7bufbd4AaABAg.8uQPUrAHbjK8uQhkcWBK44,is nanto,1 month ago,1557717611048,Sebenernya ulama 2 itu gk ada apa2. Di  banding abinya mbk nana.,4
,,,,,,,,UgxWyuzG0wBGL7bufbd4AaABAg.8uQPUrAHbjK8uQnZrSaMrg,anak rantau82,1 month ago,1557717611049,@Aceh Acehijoku yaaaaaaah macam ada yang kebaran bulu ketek ni hahhahahahahah,0
,,,,,,,,UgxWyuzG0wBGL7bufbd4AaABAg.8uQPUrAHbjK8uQoYqp5sEm,Al Yani,1 month ago,1557717611051,"Aduh gmn sihc kok gak bs menerima kekalahan....!!!! Mudah,,an tetep no 1 q rela antri berjam jam di taiwan demi kemenangan bapak jokowi ...",3
,,,,,,,,UgxWyuzG0wBGL7bufbd4AaABAg.8uQPUrAHbjK8uQqXJ3OO6-,Xina King,1 month ago,1557717611052,Yang penting rakyat Indonesia jangan dengar dan jangan  terpengaruh ONTA2 arab bicara apapun,3
,,,,,,,,UgxWyuzG0wBGL7bufbd4AaABAg.8uQPUrAHbjK8uQrzUdes-J,Raffa Rambu,1 month ago,1557717611053,Najwa Shihab hmm ULAMA,1
,,,,,,,,UgxWyuzG0wBGL7bufbd4AaABAg.8uQPUrAHbjK8uQsyR4QOQk,agus pramana,1 month ago,1557717611055,"Kalo org ngomong,  jangan dipotong",2
,,,,,,,,UgxWyuzG0wBGL7bufbd4AaABAg.8uQPUrAHbjK8uQvfOCSY1d,Toda Fidelis,1 month ago,1557717611056,You are the best,1
,,,,,,,,UgxWyuzG0wBGL7bufbd4AaABAg.8uQPUrAHbjK8uQzFbxNpdT,Eco xxx,1 month ago,1557717611057,salah satu tanda tanda akhir jaman,1
,,,,,,,,UgxWyuzG0wBGL7bufbd4AaABAg.8uQPUrAHbjK8uQzW3jSoYI,Laria Akti,1 month ago,1557717611058,Mb nana dengarkan dulu baru d komentari hmmz biar asyiik dengarnya,1
,,,,,,,,UgxWyuzG0wBGL7bufbd4AaABAg.8uQPUrAHbjK8uR6M6C1Lti,Muhammad Mahmud,1 month ago,1557717611060,ko msh ngotot yg sebelah....😂😂,1
,,,,,,,,UgxWyuzG0wBGL7bufbd4AaABAg.8uQPUrAHbjK8uR6N2MNL45,Khenndy 07,1 month ago,1557717611061,"Ini maaf ya ini apa yang saya lihat dan saya tangkap atas berita2 yang beredar dan melihat nonton mba nana , opini saya pendapat saya menurut saya disini ada capres boneka",1
,,,,,,,,UgxWyuzG0wBGL7bufbd4AaABAg.8uQPUrAHbjK8uR6nds3Mcr,Muhammad Mahmud,1 month ago,1557717611062,klo kalah.. bsa menerima... itu malah lbh berharga.... ...,1
,,,,,,,,UgxWyuzG0wBGL7bufbd4AaABAg.8uQPUrAHbjK8uRA9LnQYQV,Fendi Barabara,1 month ago,1557717611064,saya SETUJU !.       ULAMA yg berada diantara kedua belah pihak > mredupkn panasny politik> 'mengiringi' kerja KPU dngan pedoman ULAMA yg di dasari Alqur'an & Hadist.,1
,,,,,,,,UgxWyuzG0wBGL7bufbd4AaABAg.8uQPUrAHbjK8uRAE0iFkTX,7thfloor,1 month ago,1557717611065,Kita yang harus berterima kasih kepada mba Najwa karena sudah menayangkan acara yang sangat berkualitas dan menarik ini,1
,,,,,,,,UgxWyuzG0wBGL7bufbd4AaABAg.8uQPUrAHbjK8uRAMXampww,Fendi Barabara,1 month ago,1557717611066,SETUJU ndak (?),1
,,,,,,,,UgxWyuzG0wBGL7bufbd4AaABAg.8uQPUrAHbjK8uRAnjtzSYO,sukarno karanganyar,1 month ago,1557717611067,02 emang orang nya darah tinggi semua.. Gembel... Kompor mleduk,2
,,,,,,,,UgxWyuzG0wBGL7bufbd4AaABAg.8uQPUrAHbjK8uRBbn5su-z,Rizky Kentwo,1 month ago,1557717611068,Acara adudomba.....,2
,,,,,,,,UgxWyuzG0wBGL7bufbd4AaABAg.8uQPUrAHbjK8uRCekH-Wwi,kholasotunnisa nisa,1 month ago,1557717611070,LUCU ....,2
,,,,,,,,UgxWyuzG0wBGL7bufbd4AaABAg.8uQPUrAHbjK8uRCfR5v_Zl,Edi Ekos,1 month ago,1557717611071,Seharusnya ulama' itu g bela salah satu pihak atau menyejukkan suasana,1
,,,,,,,,UgxWyuzG0wBGL7bufbd4AaABAg.8uQPUrAHbjK8uRDmcfrDTt,Bodoh Beb,1 month ago,1557717611072,"Sama"" mbak nana",1
,,,,,,,,UgxWyuzG0wBGL7bufbd4AaABAg.8uQPUrAHbjK8uRJNVPWYM3,kawulo alit,1 month ago,1557717611073,syarat biar bisa dipanggil ulama apa iya???????,1
,,,,,,,,UgxWyuzG0wBGL7bufbd4AaABAg.8uQPUrAHbjK8uRKiKKwSb_,putra mandala,1 month ago,1557717611075,Mbakk Nana awasssss copetttt,2
,,,,,,,,UgxWyuzG0wBGL7bufbd4AaABAg.8uQPUrAHbjK8uRLHbBs-9R,mas santoso,1 month ago,1557717611076,Egi sujana...sdh muak rakyat,0
,,,,,,,,UgxWyuzG0wBGL7bufbd4AaABAg.8uQPUrAHbjK8uRMbfXvJRz,Deta Tanto,1 month ago,1557717611077,Kak Najwa tolong panggil cak nun dong biar orang orang itu di beri pencerahan,2
,,,,,,,,UgxWyuzG0wBGL7bufbd4AaABAg.8uQPUrAHbjK8uROmVr6gWZ,agunk nugroho,1 month ago,1557717611078,Saya focus sama ekpresi Najwa aja bagaimana menghadapi para lelaki ini ...good job 👍👍,0
,,,,,,,,UgxWyuzG0wBGL7bufbd4AaABAg.8uQPUrAHbjK8uRQkxrOcHj,Sungai Bambu,1 month ago,1557717611079,mba najwa...mnurut mba..hbib rijiq imam besar umat islam pa bukan ...menurut mba najwa. .,0
,,,,,,,,UgxWyuzG0wBGL7bufbd4AaABAg.8uQPUrAHbjK8uRR3tnyfDZ,Tha Boo Qie,1 month ago,1557717611080,"BPN tuh sngja mo pancing"" emosi TKN
sbaik.y sih cuekin ajalah ..., mrka cm mo nghabizin energi kalian aja",1
,,,,,,,,UgxWyuzG0wBGL7bufbd4AaABAg.8uQPUrAHbjK8uRRU6GpEBZ,Soul Aufklarung,1 month ago,1557717611081,Sama2 Mbak Nana,1
,,,,,,,,UgxWyuzG0wBGL7bufbd4AaABAg.8uQPUrAHbjK8uRT3doIFzF,Moch Saleh,1 month ago,1557717611083,"Ulama yg mana,orang islam yg mana..golongan codot egi otaknya tmbah dungu,jangan kau bawah2 umat islam bajingan....",1
,,,,,,,,UgxWyuzG0wBGL7bufbd4AaABAg.8uQPUrAHbjK8uRYDB9Ev7r,raden YPL,1 month ago,1557717611084,itu bener BPN yang didalamnya ada beberapa ulama...,1
,,,,,,,,UgxWyuzG0wBGL7bufbd4AaABAg.8uQPUrAHbjK8uRZQ8A1vTJ,alvin keling,1 month ago,1557717611085,"Itu kyai bayaran,,, berkoar koar soal kecurangan tp gk ad buktinya",1
,,,,,,,,UgxWyuzG0wBGL7bufbd4AaABAg.8uQPUrAHbjK8uRjkCv2CQT,muzakkir cr,1 month ago,1557717611086,"Najwa Shihab iya kk Nana.
Maaf saya pnggil klk Nana.",1
,,,,,,,,UgxWyuzG0wBGL7bufbd4AaABAg.8uQPUrAHbjK8uRmHsLplwX,Sulistiati Elis,1 month ago,1557717611087,"Kalau ngitung nya 
Dari PDI .GoLkar PPP Nasdem NU PSI Bintang BuLan Hanura Jokowi uda menang 
Dukungan yg sebelah Grindra pks demokrat pan partai kecil semua pasti kalah laaa",1
