id,user,date,timestamp,commentText,likes,hasReplies,numberOfReplies,replies.id,replies.user,replies.date,replies.timestamp,replies.commentText,replies.likes
UgyCf_ptxmJR_DyQsqx4AaABAg,Najwa Shihab,1 month ago,1557717996566,"Terima kasih sudah menonton episode Mata Najwa - Laga Usai Pilpres, cek episode lengkapnya di https://www.narasi.tv atau klik disini http://bit.ly/2GRG7qj",1562,true,171,,,,,,
,,,,,,,,UgyCf_ptxmJR_DyQsqx4AaABAg.8uQPO9STONC8uQQQq6xzPo,Randy Rante,1 month ago,1557717997030,Mba nana ur so beautiful😍,3
,,,,,,,,UgyCf_ptxmJR_DyQsqx4AaABAg.8uQPO9STONC8uQQlFt9zlu,moheammed yuzuf,1 month ago,1557717997031,Setelah pemilu lawakan berbau politik apa lagi yang akan di suguhkan ya mbak nana 😅?,3
,,,,,,,,UgyCf_ptxmJR_DyQsqx4AaABAg.8uQPO9STONC8uQQuKoAVvv,a o,1 month ago,1557717997033,Di malaysia nggak ada program begini .... salam dr malaysia ....,5
,,,,,,,,UgyCf_ptxmJR_DyQsqx4AaABAg.8uQPO9STONC8uQSH6Czxxe,Hartanto Putra,1 month ago,1557717997034,Najwa Shihab  terbaik,1
,,,,,,,,UgyCf_ptxmJR_DyQsqx4AaABAg.8uQPO9STONC8uQSPQlI77P,Genocide Ari,1 month ago,1557717997035,"Najwa Shihab mbk,,andalah orang yg  paling puyeng dan paling ngakak ketika berada diantara mereka..
macam liat bocah rebutan permen 😂😂😂",7
,,,,,,,,UgyCf_ptxmJR_DyQsqx4AaABAg.8uQPO9STONC8uQSw-T6H7D,kartiko buono,1 month ago,1557717997036,"MBAK NAJWA MEMANG PEMBERANI,,, HAHAHHAH",3
,,,,,,,,UgyCf_ptxmJR_DyQsqx4AaABAg.8uQPO9STONC8uQSxvlOsoQ,ahsanudin jamal,1 month ago,1557717997037,"Adian vs Arief disitu diskusi terasa segar, undang terus aja deh dua orang ini,keduanya harus saling kontra,cz kl gak kontra gak asik liatnya,",8
,,,,,,,,UgyCf_ptxmJR_DyQsqx4AaABAg.8uQPO9STONC8uQUtpVsFXO,BB,1 month ago,1557717997039,maksudnya berpegang tangan itu supaya apa y mba nana?,0
,,,,,,,,UgyCf_ptxmJR_DyQsqx4AaABAg.8uQPO9STONC8uQVMwbWpp5,Ardha Mawar,1 month ago,1557717997040,"Tante jgn lupa bentar lagi tgl 21 Mei, tolong undang semua bintang tamu yg terlibat tragedi 1998 dalam 1 forum, biar clear.😁 💓🙏✌",10
,,,,,,,,UgyCf_ptxmJR_DyQsqx4AaABAg.8uQPO9STONC8uQVby1wOYI,Kartiko Eko Novandra,1 month ago,1557717997041,Najwa Shihab pegang tanganku juga dong mba nana...😅,2
,,,,,,,,UgyCf_ptxmJR_DyQsqx4AaABAg.8uQPO9STONC8uQVreaddvI,Hadi Saputro,1 month ago,1557717997810,"Mbak Najwa, coba sekali kali Adian sama Arif dibuatin acara sendiri, tapi konsepnya acara komedi.. pasti bagus bgt. 2 orang itu bakat artis, bisa jadi host juga. Mereka punya dasar karakter lucu dalam penyampaian.",5
,,,,,,,,UgyCf_ptxmJR_DyQsqx4AaABAg.8uQPO9STONC8uQWxQYUoBs,arif bahriansah,1 month ago,1557717997811,mkseeh mbak ats tamuny adian vs arif,0
,,,,,,,,UgyCf_ptxmJR_DyQsqx4AaABAg.8uQPO9STONC8uQWy6ixLmw,Wong Wati,1 month ago,1557717997813,Sumpah bkn ribut aja negara kapan adem.y,1
,,,,,,,,UgyCf_ptxmJR_DyQsqx4AaABAg.8uQPO9STONC8uQX7Kb365j,Engky Figarintis,1 month ago,1557717997814,"Klo ktmu mbk nana,pgn ngomong trus ah..biar d pegang tangannya jg sm mbk nana...😁",2
,,,,,,,,UgyCf_ptxmJR_DyQsqx4AaABAg.8uQPO9STONC8uQXKcTfl5a,Wong Wati,1 month ago,1557717997815,@Engky Figarintis ini tambah koplak,0
,,,,,,,,UgyCf_ptxmJR_DyQsqx4AaABAg.8uQPO9STONC8uQZ4G8s7be,gurun putih,1 month ago,1557717997816,Hidup 02,0
,,,,,,,,UgyCf_ptxmJR_DyQsqx4AaABAg.8uQPO9STONC8uQZ59UCWRT,Redo Zaki,1 month ago,1557717997818,Najwa Shihab mantap lanjut terus mbak,0
,,,,,,,,UgyCf_ptxmJR_DyQsqx4AaABAg.8uQPO9STONC8uQZBvXe5ZP,bunda ita,1 month ago,1557717997819,"Najwa Shihab 
Paling Suka Acara Najwa 
Apalagi nara Sumbernya Bang Adian.
Bikin wawadan luas dan tau yang belum aku tau.
Tapi dasar dah aku ketahui dari Leluhur ku Tentang Orba dan prabowo.",4
,,,,,,,,UgyCf_ptxmJR_DyQsqx4AaABAg.8uQPO9STONC8uQZMIB5xON,Nadia S,1 month ago,1557717997820,Mbak ketrunan arab ya?,0
,,,,,,,,UgyCf_ptxmJR_DyQsqx4AaABAg.8uQPO9STONC8uQZVnAg7ez,Dwi Darma,1 month ago,1557717997822,"Saya kasih info ya, sebenarnya yg keras menolak ajakan luhut bertemu 02 adalah rakyat yg tidak memilih 01. Hampir 02 kehilangan semangat, dan hampir mau menerima kedatangan si luhut, kami rakyat yg memberinya darah, dan kami siap jika tetes2 darah itu habis dari tubuh kami!!",1
