replies.id	replies.user	replies.commentText
UgybgVhozU_blWvWtU54AaABAg.8uST5nMwA0W8uV3ixUqh0H	Hendra Gunawan	@BINTANG la yose indonesia ky apa??bgus kok...Indonesia skrang di akui luar negri...prospek kedepan jelas...hubungan internasional bagus.. psti mau bilang  sembako mahal + hutang nambah..klo bljar ekonomi makro ga bkal angkat itu..heran gw pakar ekonomi indo ko itu mlu yg dipake buat goblokin rakyat..pdhal mereka psti tau untungnya secara kelasnya pakar.
Ugx03KlFTAh0VU7MN6x4AaABAg.8uRYlRNjiGw8uRynenJrwK	Zen Vian	Mereka kubu 02 sdng mempertontonkan kebodohan dlm berpolitik maksa menang, mrk tdk menghargai orang lain sm sekali. Katanya bnyk ulama yg dukung tp kelakuan ky...........jd gak respect.
UgxqYKcjhDCu9Hr1lF54AaABAg.8uRQof0J1HL8uTZZcE1R5Z	Joe Channel	@Suka Ngiler gini bang, kalau terbukti curang kenapa gak dilaporin aja, knp smpe sekarang belum ada yang lapor, pakai akal sehat bang
Ugxby5n5qW6ZHAKuk5V4AaABAg.8uR6fTJfDBx8uRYjKwyJsE	Rojali Roy	@Aris Bermansyah setau saya film sexy killer itu tidak sesuai dengan fakta yg terjadi. Emang ada bnernya, tapi cerita fiktifnya, hoax serta fitnah pun banyak tersaji di film tersebut. Itu sebabnya film tersebut dicekal.
UgzEmAv2KHOJiXjEfBp4AaABAg.8uPXIFA15eM8uPY4SXNbvx	Lutfi Ansori	Jokowi 2 Periode
UgxyYL2ZcY6wm5setOt4AaABAg.8uRSUIr5qS88uTtbsQDABt	Radio Dalam	@ikhsan triadi indikatornya cuma kemang?? Muke gile
Ugxby5n5qW6ZHAKuk5V4AaABAg.8uR6fTJfDBx8uRK8rhwDST	Aris Bermansyah	"org tua lu udh bner bang TAPI menurut mereka . .. 
bgtu jg dgn elu . udh bner . tapi menurut elu .. 
kalo mau cari kebenaran jgn di politik ok . 
jgn bnear jd salah . yg salah jd bner .. 

politik itu kepentingan pribadi .  sesuai jalan? jd kawan . 
gak sesuai jalan . jd lawan .. 
bilang jokowi baek ? 
atau bilang prabowo baek ? 
gk ada yg baik . 
smua mencari kekuasaan masing2 . 
bkn untuk rakyat . 
tpi untk pribadi . 
gini aja lah . lu bnyk2 buka yt . sosmed dll . 
tpi jgn cari salah satu kelemahan paslon . 
tpi cari lah 2 2 nya .. 
nanti bakal keliatan . gk ada yg sempurna . dan gak ada yg bner2 untuk rakyat .

btw klo mau nonton film  recom . ttg politik . 
bnyk loh film indo ttg politik . bhkn ada yg pernh di kecam . gknboleh tayang . 
y krn itu tdi . gk ad yg bner2 untuk rakyat . 
siapa yg tinggi . dia yg berkuasa . 
mksd ku . siapa yg punya uang . 
uang bsa mengalahkan . presiden - presiden cuma di jadikan tameng . untk menghalalkann uang.. 
jd . siapa temen presiden . pasti pengusaha . . 
siapa anak presiden . yg bilang ttp jualan pisang dan gorengan . ttp pengusaha . walau tameng nya polos . jualan pisang  gorengan .tpi di belakang ny . batubara . 

tonton lagi film2 documenter . sejarah kita . 
atau film terbaru decommenter . nama nya sexy killer . 
biar tau . .kejam nya dunia bagi rakyat kalangan bawah .aku aja yg nonton smpe nangis. 
sekian opini ku"
UgzyfO2O4GFn9MpfGV14AaABAg.8uQIDMCQLyQ8uQbtlK9r_H	Panji Njipan	@fai akhmad salah ya di lapor ke MK gausah koar* !! Mau kejadian 2014 bilang curang giliran sidang saksi Prabowo ngelawak semua !!
UgyUzFdTzCbhJWs2PeJ4AaABAg.8uQHkDubPbO8uQa9Pqqqg0	R Satrio	"Kalau Smpai mereka ingin mnjatuhkan presiden yg trpilih
Siap2 saja mereka akan jadi musuh bangsa !!!"
UgzEmAv2KHOJiXjEfBp4AaABAg.8uPXIFA15eM8uP_-hSiEEJ	java aldhika	prabowo di nobat kn menjadi capres seumur hidup
UgwgnEYi2nce8JonunN4AaABAg.8uQ8ZEqjWMe8uQE4YWp2a3	Laaa Alula	Beliau adalah pelayan masyarakat yg sesungguhnya... #CINTAINDONESIA
UgwgnEYi2nce8JonunN4AaABAg.8uQ8ZEqjWMe8uQKhWgT7WA	Uminya Candra	Yg penting PAKJOKOWI lanjut President RI 2019-2024
UgyZXEfZbt1ecNJj0il4AaABAg.8uPlKQW7Ahj8uPqL82H-Cj	THE PULL 03	Ditanya tim sandiuno siapa yang hitung quickon kita. Kok bisa dapat 62%. Semua angotanya 02 jawab. Kita gak tahu siapa yang itung.kikiki lawak
UgybgVhozU_blWvWtU54AaABAg.8uST5nMwA0W8uVAMH_uXjH	Hendra Gunawan	@BINTANG la yose emang susah gw jg rasain ko..itulah  resiko perbaikan negara..asal peruntukannya jelas kliatan terbukti ga mslah...Pa Jokowi jg udh bilang Rakyat bkal mrsa d skiti knp coz subsidi buat pembangunan...klo Pak Jokowi naik lgi jamin psti bkal lbih bnyak Nyinyir...
UgyUzFdTzCbhJWs2PeJ4AaABAg.8uQHkDubPbO8uQ_1tGnr2d	multi fandom	@Andi Irawan dan yg ga sadar2 itu emang kampret sejati..tau kampret???otakny kebalik karena malem dijadiin siang...
Ugw-eiTOYzrvgNLigtt4AaABAg.8uQ6RLJJqKT8uQCArFw5wA	Arsenio Putra	Kurang mas....ada amin ya usahakan ada aktivis 98 kyk adian
Ugx38uWfjAf7GKzeH_J4AaABAg.8uU41We3ejn8u_jvRKxi8-	sulisiani kartasasmita	Gusti syahrial.  Lo aja yg pindah negara, kpu badan besar, dipilih sm anggota dpr, yg disitu ada partai pendukung prabowo.... comment aneh
UgxqB5lziLV3mt_viTF4AaABAg.8uRrMIICroe8uTm6na4ufm	Molly quincy	@will sastro pemilu2 sebelumnya ga ada yg meninggal? Yaiyalah Lha kn pemilu kali ini  pemilihan serentak PERTAMA kali di Indonesia, sekaligus 5 kalo yg dulu2 kn cuma 1.
Ugz40iekZ-6LbJjsHf94AaABAg.8uQz9GYWlj88uRBEGSf5VT	Mamahe fara	indonesa bisa hancur klo wowo jdi persiden...
UgyUzFdTzCbhJWs2PeJ4AaABAg.8uQHkDubPbO8uQWcrRB5fK	Andi Irawan	Yg blg udah gak respect itu penyusup asli nya memang mereka kecebong
UgyUzFdTzCbhJWs2PeJ4AaABAg.8uQHkDubPbO8uQXA441_v0	Alvin Agung	@Andi Irawan sama aja kyk konteksnya gw dlu fans arsenal 2004 karena invicible tapi gagal juara UCL, trs tahun 2005 Arsenal kena bantai sm Chelsea plus Attitude pemain arsenal itu buruk, makanya gw pindah dukung Chelsea sampe skrg. Terima ajalah udh alamiah koq
UgzEmAv2KHOJiXjEfBp4AaABAg.8uPXIFA15eM8uPYnPeTfR3	Ariez Andini	Jokowi
UgzdzzaSwGuUgdfSZEh4AaABAg.8uToMF2Cuge8uV_2o2bDSb	Cindy Aulia	Hai mas.. Indonesia itu bhineka tunggal ika.. Toh aku juga org islam aku milih beliau, berarti kesimpulannya kalau beliau menang ya pilihan rakyat dan kita berdoa agar Tuhan YME merindoi itu. Begitupun jika pak prabowo menang....
UgybgVhozU_blWvWtU54AaABAg.8uST5nMwA0W8uTwLbquPBW	Hendra Gunawan	Ntah gmn indo kdepannya klo 002 jd presiden...
UgyctUMx8iArD0l54rR4AaABAg.8uQXHs9AG4h8uR5ROjpNDO	Bango Bee 101	@Invia Instant bukannya firaun yg ngebet bgt pengen jdi tuhan ..dgn menghalalkan segala cara ..tpi gagal lagi gagal lagi ..wkwkwk
UgyZXEfZbt1ecNJj0il4AaABAg.8uPlKQW7Ahj8uPqjC06OW2	OSHITB 94	@Lucky DrawPhising mending kalau ada kecurangan dilaporkan saja, ada lho itu sayembara 100 M yg bisa membuktikan. jgn asal nyebar hoax aja bisa nya, kalau teriak teriak curang anak kecil jg bisa
UgyksYEfBhyqpvZhoZx4AaABAg.8uPd12SF3Fi8uPhc9nd7k8	Berry W	Makanya dia bilang 2030 indonesia bubar, lah ternyata dia toh yg mau bubarin ðŸ˜¥ðŸ™„
UgxOEsv60_jQc6rWBsV4AaABAg.8uPZYO6Hkci8uPcHb2OIaV	Yusup Andromax l	Jokowi lah
UgyBcRWrBk6MTyI9OG54AaABAg.8uPWu5wQEQD8uPYLlgz6R4	UKUWEWE OZAZWEWE	Gue dong..gue lgs ngefans gr2 doi debat sm si Arief..jwbnnya lugas dan cerdas namun ttp tenang..
UgybgVhozU_blWvWtU54AaABAg.8uST5nMwA0W8uV3B_0kdXj	Rakhmad Dhany	@BINTANG la yose Indonesia jadi lebih baik coi
UgzaYvM6adcQTAkx6714AaABAg.8uPrr2A2hsp8uPuiqqSjR2	ë‚¨ìž_	lumayan lah ya, dapet juara 2, daripada enggak ðŸ˜‚
Ugw4-QA6Dm2e-h5TeI94AaABAg.8uRGruyjry18uTJLMXnNv7	Herman Bagaskara	@Yase Adalahyase lah di artikelnya jelas bilang internasional msh bilang propinsi, ya mungkin angka 33 itu dipilih karena  deket jumlah propinsi indonesia. Kubu prabowo sendiri loh yang minta, kpu baik tuh kasih yang kubu prabowo mau.
UgyycNb1J4f5lLJ1q614AaABAg.8uQMoZxIcID8uQ_th9VHn8	multi fandom	yupppp..mesti bego murni saaay..bukan kaleng2 begony
Ugw-eiTOYzrvgNLigtt4AaABAg.8uQ6RLJJqKT8uQA_W9Ovr4	lia riski	Keok langsung si amin raisðŸ˜‚
UgyFq7qnyqIO1iJFpmd4AaABAg.8uPp6Z0hEaC8uPttMo-3bt	Rahmy Fauzan	Adian
UgxOEsv60_jQc6rWBsV4AaABAg.8uPZYO6Hkci8uPd0iqloE8	Hasan Indra	Jokowi 2 periode
UgzEmAv2KHOJiXjEfBp4AaABAg.8uPXIFA15eM8uP_U3J5VWu	Gu Go	Pak Wowo presiden khayalan
UgxyYL2ZcY6wm5setOt4AaABAg.8uRSUIr5qS88uSz1hgTg8j	Zain Akhmad	"Di iya'in aja lahh.. @Ririn kusumaningtiyas biar #02 mengklaim kemenangan'y sendiri ðŸ˜ŠðŸ˜
Indonesia ðŸ‡®ðŸ‡© sekarang itu membutuhkan orang yang berfikir waras ðŸ˜ bukan yg smart dan gemar Hoax tanpa data yg kredibel 
#01 ajja lah 
#Siap presiden,!! EEh.. presiden' dr 18 April s/d 21 Mei 2019 ðŸ˜
Presiden""an Hanya berlaku 1 bulan saja kaya' org datang bulan ðŸ˜„ðŸ˜…ðŸ˜…ðŸ¤£ðŸ¤£"
